
                  TIMESTAMP   RECORD    AirTC    Dew   RH_Avg  AirPress   WindSpd  MeanWS   MeanWindDir  WindDir
                                         Avg    Point            Avg       Max                            STD
                                                  Avg                                                         

     "2008-04-01 02:57:00"    15614    23.00    13.47    54.90  1007.67     4.17     2.15      229.20    19.85
     "2008-04-01 03:00:00"    15615    22.95    13.38    54.76  1007.66     4.27     2.11      238.40    22.92
     "2008-04-01 03:03:00"    15616    23.42    13.81    54.74  1007.66     3.90     2.57      229.80    17.80
     "2008-04-01 03:06:00"    15617    23.36    13.67    54.43  1007.57     4.68     2.49      230.70    24.46
     "2008-04-01 03:09:00"    15618    23.64    13.81    53.98  1007.42     5.43     3.04      230.50    17.94
     "2008-04-01 03:12:00"    15619    23.91    13.88    53.39  1007.29     4.98     3.48      227.00    13.59
     "2008-04-01 03:15:00"    15620    23.85    13.75    53.10  1007.13     6.21     3.44      224.50    15.91
     "2008-04-01 03:18:00"    15621    24.02    13.69    52.37  1007.03     5.51     3.44      225.10    14.31
     "2008-04-01 03:21:00"    15622    24.14    13.69    52.01  1006.92     7.08     4.45      221.80    11.21
     "2008-04-01 03:24:00"    15623    24.05    13.61    52.04  1006.84     4.80     3.29      223.90    18.60
     "2008-04-01 03:27:00"    15624    24.13    13.66    51.92  1006.83     6.35     3.38      223.60    16.83
     "2008-04-01 03:30:00"    15625    24.05    13.54    51.79  1007.02     5.82     3.99      221.40    11.10
     "2008-04-01 03:33:00"    15626    24.34    13.71    51.47  1007.02     6.45     3.96      226.80    12.12
     "2008-04-01 03:36:00"    15627    24.71    13.94    51.09  1007.11     6.23     4.22      228.00    15.21
     "2008-04-01 03:39:00"    15628    24.58    13.92    51.41  1007.11     6.21     3.94      224.50    15.22
     "2008-04-01 03:42:00"    15629    24.52    13.88    51.46  1007.03     5.84     3.43      222.90    15.19
     "2008-04-01 03:45:00"    15630    24.65    13.97    51.36  1006.97     5.33     2.14      220.20    23.04
     "2008-04-01 03:48:00"    15631    24.93    14.08    50.89  1006.91     4.17     2.64      219.20    15.25
     "2008-04-01 03:51:00"    15632    24.97    13.92    50.22  1006.91     3.02     2.08      227.60    19.15
     "2008-04-01 03:54:00"    15633    24.87    13.65    49.66  1006.84     6.02     2.63      220.40    22.14
     "2008-04-01 03:57:00"    15634    24.96    13.53    48.99  1006.75     5.39     3.42      214.80    17.71
     "2008-04-01 04:00:00"    15635    25.60    14.03    48.72  1006.69     5.27     2.99      207.80    20.07
     "2008-04-01 04:03:00"    15636    24.98    13.52    48.93  1006.57     5.53     2.70      207.30    26.68
