1949	ACTL	6.8	3	33.5	114.7	188.9	214.5	325	285.5	209.8	110.5	1.3	0	1493.6
1950	ACTL	0	6.5	25.9	14.1	101.2	371.1	338.7	373.3	176.4	93.3	115.2	0	1615.6
1951	ACTL	0	0.4	62.1	13.1	67.4	180.7	253.5	260.3	200.1	140	36	0.4	1214
1952	ACTL	0.3	1.1	23.3	99.7	77	167.4	431	244.7	189.1	159.6	2.5	0	1395.6
1953	ACTL	25.8	14.1	4.8	13.6	61.9	311.1	358.3	343.1	278.5	56	38.6	0	1505.8
1954	ACTL	12.3	5.9	0.3	11.5	88.6	211.1	201.7	215.1	247.1	56.7	1.5	28	1079.9
1955	ACTL	2.9	2.3	11.4	24.3	48	174.7	338.7	251.9	188.1	151.9	73.9	0.1	1268.1
1956	ACTL	4.5	33.9	50.7	25.6	141.6	343.3	253.9	295.4	391.1	157.6	12.7	3.9	1714.2
1957	ACTL	50.2	26.6	8.7	6	16.4	231.8	312.1	201	239.4	38.2	0.1	0	1130.4
1958	ACTL	12.7	25.6	13.3	37.9	58.3	95.2	280.1	215.1	294.7	109.3	8.9	0	1151.1
1959	ACTL	33.5	12.7	17.3	28.2	91.4	208.5	273.3	328.5	487.3	331.2	0.3	0.4	1812.8
1960	ACTL	0.6	1.4	30.9	0.9	122.3	117.5	336.5	317.4	246.3	71.1	0.6	0	1245.5
1961	ACTL	11.1	75.8	6.8	13.6	91.2	275	171.4	252.8	290.9	101	0.8	0.1	1290.4
1962	ACTL	8.8	13.1	6	54.5	80.3	185.6	241.1	209.3	233.6	141	0	0.1	1173.5
1963	ACTL	0.3	2.4	5.7	61.6	103.6	258.8	277.6	167.1	270.9	131.5	9.5	0.5	1289.5
1964	ACTL	2.7	11.1	18	58.3	84.7	136.2	404.2	211.3	219.9	124	8	0	1278.4
1965	ACTL	0.3	33.8	46.5	32.8	45.3	227.6	289.6	287	220.3	80	0.3	0.2	1263.7
1966	ACTL	33.1	4.4	5.1	18.3	43.4	296	168.7	236.6	187.2	84.9	34.7	6.3	1118.6
1967	ACTL	52.5	3.3	44.9	65.3	53	131.6	247.8	368.8	326.2	52.3	1.3	1.4	1348.4
1968	ACTL	5.7	7.6	7.7	12.6	35.4	368.8	418.1	472.2	115.2	115.9	37.8	0.6	1597.6
1969	ACTL	4.7	5.1	20.9	80.2	89	139.8	276.2	418	300.9	45.9	23.2	0.2	1404
1970	ACTL	10.7	15.1	30.8	16.8	63.5	323.2	285	219.8	472.6	195	15.8	0	1648.4
1971	ACTL	30.6	14.2	4.8	174.2	122.1	260.2	472.5	573.4	252.8	163.5	31.4	0	2099.7
1972	ACTL	2.8	43.1	4.1	16.4	25.1	125.9	288.3	543.2	222.5	59.7	2.1	0	1333.2
1973	ACTL	1.3	8.9	67.6	26	134.2	204.2	304.9	335	401.6	206.6	20.9	23.9	1735.1
1974	ACTL	3.6	0	83.1	29.8	94.5	96.4	438.5	317.1	262.7	140.3	4.6	0	1470.6
1975	ACTL	9.9	18.7	10.6	38.1	65.8	156.6	364.9	331.1	286.3	141.6	42.6	0	1466.2
1976	ACTL	0	32.8	20.7	47.5	133	148.9	296.6	279.6	197.5	52.1	31.2	0.6	1240.5
1977	ACTL	11.7	24.2	7.3	89.9	176.4	409.4	450.9	329.4	171.3	86.6	48	35.5	1840.5
1978	ACTL	1.4	21.2	50.5	49.7	116.3	253	274.1	349.1	591.8	148.8	10.3	6.4	1872.4
1979	ACTL	16	27.3	8.4	28	22.3	282.9	296.4	229.6	167	48	11.5	20.4	1157.7
1980	ACTL	15.4	22.6	60.9	21.8	109.9	303.6	403.2	243.3	181	158.6	0	0.4	1520.9
1981	ACTL	13.7	63.9	64.8	110.8	250.9	321.4	417.7	327.6	250	11.6	3.8	72.8	1909
1982	ACTL	2.4	35.8	87.2	70.9	37.1	196	224.5	308.9	101.1	29.2	17.9	0	1110.9
1983	ACTL	9.1	39.2	47	44.2	132.5	188.9	207.6	365.4	247.4	167.6	1.1	13.6	1463.6
1984	ACTL	19.1	2.6	0.6	46.6	82.6	597.1	332.7	442.2	196.3	111.8	0	0	1831.6
1985	ACTL	10.9	22	8.8	24.1	99.5	280.4	286.2	340.6	201.8	137.2	1.8	0	1413.3
1986	ACTL	9.6	6.3	7.1	48.5	146.1	227.9	313.4	181.2	522.2	201.5	106.3	20.6	1790.9
1987	ACTL	1.8	7.1	18.9	76.6	91.7	146.9	427.4	473	262.6	34	43.7	7.7	1591.4
1988	ACTL	1.7	22.9	53.5	45.3	109.3	508.8	299.9	292.6	207.1	100.4	39.5	0.5	1681.5
1989	ACTL	0.4	4.9	6.1	5.4	173.6	318.1	414.5	291.4	284.2	105.5	3.7	18.3	1626.2
1990	ACTL	2.2	61.7	119.3	79.1	149.7	267.1	520.1	236.9	301.7	176	48	3.4	1965.2
1991	ACTL	27.8	11.4	41.6	34.7	66	257.4	382.2	332.7	245.8	125.5	15.5	67.4	1608
1992	ACTL	13.1	48.5	0.1	24.9	124.3	239.5	410.3	251.9	213.3	65.1	4.3	0.2	1395.6
1993	ACTL	0.3	3.8	41.1	79.2	115.7	328.5	280.5	361.9	422.2	93.8	37.9	0	1764.9
1994	ACTL	23.9	48.9	7.3	63.7	97.7	310.1	428.6	294.4	165.6	82.9	9.6	0	1532.6
1995	ACTL	20.1	30.7	8.4	10.1	203.5	185.4	399	411.7	413.4	88.1	161.4	6.2	1938.1
1996	ACTL	11.1	13.1	10.3	39	67.8	336.2	250.2	469.2	143.5	155.9	4.1	0	1500.3
1997	ACTL	18.7	23.6	44.3	101.6	98.2	220	440.2	388.6	246	27.5	29.8	26.1	1664.4
1998	ACTL	52.7	30.4	129	53.1	87.6	154.3	297.3	259.5	295.4	192.3	76.9	0	1628.4
1999	ACTL	0.1	0.7	1.3	10.5	217.7	268.2	404.4	375.7	466.2	194.7	13.4	0	1952.8
2000	ACTL	9.5	58.5	3.6	54	216.5	203.3	342.2	177	428.4	75.9	1.6	0.1	1570.5
2001	ACTL	0.3	1.9	33.8	50.1	175	383	268.5	250.2	204.3	163.5	8.8	0	1539.4
2002	ACTL	26.7	1.6	27.1	76.5	113.6	349.2	282.6	291.8	326.1	73.4	50.8	0.1	1619.5
2003	ACTL	0.4	14.6	70.2	35.4	82.4	274.7	254.5	239.8	156.6	339.4	8.9	17.8	1494.9
2004	ACTL	3.5	1.6	14.5	63.2	72.6	288	250.7	391.9	264.1	221.7	0	0.8	1572.4
2005	ACTL	26.9	11.9	81.4	41.8	82.6	197.2	352.6	228.8	222.2	352.9	0	5	1603.3
2006	ACTL	0.8	3	10.7	60	120.1	218.4	486.6	318.7	379.8	48.8	7.6	0.3	1655
2007	ACTL	4	55.9	38.4	38.4	96.4	231.2	604.4	322.5	457.2	55	24.8	0	1928.2
2008	ACTL	49.8	12.4	11.6	43.5	93.5	410.8	338.4	257.8	265.9	72.8	0	0.1	1556.7
2009	ACTL	2.6	1.4	17.5	2.6	229.2	69	274	333	291.2	76.8	10.1	0.3	1307.7
2010	ACTL	0.3	10.8	7.7	15.2	128.5	189.1	195.4	187.8	193.6	96.9	5.8	29.7	1060.7
2011	ACTL	2.5	2.8	40.9	76.1	133	436.9	220.2	441.4	294.5	36.8	1.3	1.4	1687.7
2012	ACTL	40.3	15	4.3	57.8	44	144.5	307.4	259.6	244.5	61.8	46	24.5	1249.6
2013	ACTL	1.4	11.1	6.8	48.3	210.9	237.1	272.5	400.5	243	330.6	0	0	1762.3
2014	ACTL	0.6	39.4	23	3.9	114.7	155.9	304.6	286.6	220.4	55.3	0.1	1.2	1205.7
2015	ACTL	15.6	5.9	20	104.1	64.7	220.3	609.8	262.9	156.6	28.9	5.4	12	1506.1
2016	ACTL	9.9	38	14.6	5.8	111.9	172.7	334.7	416.7	233.7	69.8	19.2	0	1427
2017	ACTL	1.4	0	35.2	25.8	106.3	193.7	489.3	264.5	191.4	225.2	21.9	14	1568.6
2018	ACTL	0	2.2	4	78.4	87.8	223.4	321.2	234.1	180.6	67.2	2.8	24.3	1226
2019	ACTL	0	90	41.8	61.5	117.9	109.2	214	333.3	295.9	183.8	62.7	10.1	1520.3
2020	ACTL	34.5	4.9	50.1	76.5	247.1	279	277.2	341.3	167	81.3	4.4	0.1	1563.3
2021	ACTL	0.1	0.8	4.8	22.3	257.7	371.7	420.2	263.2	488.9	189.9	25.9	67.3	2112.8
2022	ACTL	25	46	0.7	6.5	141.8	127.6	185.8	325.3	232.3	119.4	0	0.3	1222

